Day,Interval,Quantity
2019-12-01,0500,6.0
2019-12-01,0515,6.0
2019-12-01,0530,7.0
2019-12-01,0545,6.0
2019-12-01,0600,6.0
2019-12-01,0615,7.0
2019-12-01,0630,6.0
2019-12-01,0645,6.0
2019-12-01,0700,6.0
2019-12-01,0715,6.0
2019-12-01,0730,6.0
2019-12-01,0745,6.0
2019-12-01,0800,6.0
2019-12-01,0815,6.0
2019-12-01,0830,6.0
2019-12-01,0845,6.0
2019-12-01,0900,6.0
2019-12-01,0915,6.0
2019-12-01,0930,6.0
2019-12-01,0945,5.0
2019-12-01,1000,6.0
2019-12-01,1015,7.0
2019-12-01,1030,5.0
2019-12-01,1045,6.0
2019-12-01,1100,6.0
2019-12-01,1115,6.0
2019-12-01,1130,6.0
2019-12-01,1145,6.0
2019-12-01,1200,6.0
2019-12-01,1215,6.0
2019-12-01,1230,6.0
2019-12-01,1245,6.0
2019-12-01,1300,6.0
2019-12-01,1315,5.0
2019-12-01,1330,6.0
2019-12-01,1345,6.0
2019-12-01,1400,6.0
2019-12-01,1415,6.0
2019-12-01,1430,6.0
2019-12-01,1445,6.0
2019-12-01,1500,6.0
2019-12-01,1515,6.0
2019-12-01,1530,7.0
2019-12-01,1545,6.0
2019-12-01,1600,6.0
2019-12-01,1615,6.0
2019-12-01,1630,7.0
2019-12-01,1645,6.0
2019-12-01,1700,6.0
2019-12-01,1715,6.0
2019-12-01,1730,7.0
2019-12-01,1745,7.0
2019-12-01,1800,8.0
2019-12-01,1815,8.0
2019-12-01,1830,7.0
2019-12-01,1845,7.0
2019-12-01,1900,8.0
2019-12-01,1915,8.0
2019-12-01,1930,7.0
2019-12-01,1945,10.0
2019-12-01,2000,10.0
2019-12-01,2015,9.0
2019-12-01,2030,10.0
2019-12-01,2045,9.0
2019-12-01,2100,9.0
2019-12-01,2115,9.0
2019-12-01,2130,10.0
2019-12-01,2145,13.0
2019-12-01,2200,11.0
2019-12-01,2215,10.0
2019-12-01,2230,14.0
2019-12-01,2245,15.0
2019-12-01,2300,14.0
2019-12-01,2315,14.0
2019-12-01,2330,10.0
2019-12-01,2345,9.0
2019-12-02,0000,9.0
2019-12-02,0015,10.0
2019-12-02,0030,9.0
2019-12-02,0045,10.0
2019-12-02,0100,10.0
2019-12-02,0115,11.0
2019-12-02,0130,9.0
2019-12-02,0145,12.0
2019-12-02,0200,13.0
2019-12-02,0215,13.0
2019-12-02,0230,14.0
2019-12-02,0245,12.0
2019-12-02,0300,10.0
2019-12-02,0315,10.0
2019-12-02,0330,9.0
2019-12-02,0345,10.0
2019-12-02,0400,11.0
2019-12-02,0415,10.0
2019-12-02,0430,10.0
2019-12-02,0445,9.0
2019-12-02,0500,10.0
2019-12-02,0515,9.0
2019-12-02,0530,9.0
2019-12-02,0545,8.0
2019-12-02,0600,8.0
2019-12-02,0615,8.0
2019-12-02,0630,8.0
2019-12-02,0645,8.0
2019-12-02,0700,8.0
2019-12-02,0715,7.0
2019-12-02,0730,7.0
2019-12-02,0745,8.0
2019-12-02,0800,7.0
2019-12-02,0815,7.0
2019-12-02,0830,7.0
2019-12-02,0845,7.0
2019-12-02,0900,7.0
2019-12-02,0915,8.0
2019-12-02,0930,7.0
2019-12-02,0945,7.0
2019-12-02,1000,7.0
2019-12-02,1015,7.0
2019-12-02,1030,7.0
2019-12-02,1045,7.0
2019-12-02,1100,7.0
2019-12-02,1115,7.0
2019-12-02,1130,6.0
2019-12-02,1145,8.0
2019-12-02,1200,8.0
2019-12-02,1215,7.0
2019-12-02,1230,7.0
2019-12-02,1245,8.0
2019-12-02,1300,7.0
2019-12-02,1315,9.0
2019-12-02,1330,8.0
2019-12-02,1345,8.0
2019-12-02,1400,7.0
2019-12-02,1415,8.0
2019-12-02,1430,7.0
2019-12-02,1445,8.0
2019-12-02,1500,9.0
2019-12-02,1515,8.0
2019-12-02,1530,9.0
2019-12-02,1545,8.0
2019-12-02,1600,9.0
2019-12-02,1615,10.0
2019-12-02,1630,8.0
2019-12-02,1645,9.0
2019-12-02,1700,9.0
2019-12-02,1715,8.0
2019-12-02,1730,9.0
2019-12-02,1745,9.0
2019-12-02,1800,10.0
2019-12-02,1815,8.0
2019-12-02,1830,10.0
2019-12-02,1845,9.0
2019-12-02,1900,9.0
2019-12-02,1915,8.0
2019-12-02,1930,10.0
2019-12-02,1945,10.0
2019-12-02,2000,9.0
2019-12-02,2015,10.0
2019-12-02,2030,13.0
2019-12-02,2045,13.0
2019-12-02,2100,14.0
2019-12-02,2115,12.0
2019-12-02,2130,10.0
2019-12-02,2145,10.0
2019-12-02,2200,11.0
2019-12-02,2215,10.0
2019-12-02,2230,11.0
2019-12-02,2245,9.0
2019-12-02,2300,10.0
2019-12-02,2315,10.0
2019-12-02,2330,9.0
2019-12-02,2345,10.0
2019-12-03,0000,9.0
2019-12-03,0015,10.0
2019-12-03,0030,9.0
2019-12-03,0045,9.0
2019-12-03,0100,9.0
2019-12-03,0115,10.0
2019-12-03,0130,11.0
2019-12-03,0145,10.0
2019-12-03,0200,11.0
2019-12-03,0215,10.0
2019-12-03,0230,11.0
2019-12-03,0245,11.0
2019-12-03,0300,12.0
2019-12-03,0315,11.0
2019-12-03,0330,11.0
2019-12-03,0345,11.0
2019-12-03,0400,10.0
2019-12-03,0415,11.0
2019-12-03,0430,10.0
2019-12-03,0445,15.0
2019-12-03,0500,17.0
2019-12-03,0515,15.0
2019-12-03,0530,12.0
2019-12-03,0545,10.0
2019-12-03,0600,9.0
2019-12-03,0615,8.0
2019-12-03,0630,9.0
2019-12-03,0645,8.0
2019-12-03,0700,8.0
2019-12-03,0715,8.0
2019-12-03,0730,8.0
2019-12-03,0745,8.0
2019-12-03,0800,8.0
2019-12-03,0815,8.0
2019-12-03,0830,8.0
2019-12-03,0845,7.0
2019-12-03,0900,8.0
2019-12-03,0915,7.0
2019-12-03,0930,8.0
2019-12-03,0945,8.0
