Day,Interval,Quantity
2019-12-01,0500,295.0
2019-12-01,0515,286.7
2019-12-01,0530,277.1
2019-12-01,0545,260.2
2019-12-01,0600,289.3
2019-12-01,0615,291.2
2019-12-01,0630,291.8
2019-12-01,0645,279.7
2019-12-01,0700,273.0
2019-12-01,0715,280.3
2019-12-01,0730,257.9
2019-12-01,0745,270.4
2019-12-01,0800,262.1
2019-12-01,0815,288.3
2019-12-01,0830,260.2
2019-12-01,0845,309.1
2019-12-01,0900,303.7
2019-12-01,0915,313.3
2019-12-01,0930,299.2
2019-12-01,0945,281.0
2019-12-01,1000,304.7
2019-12-01,1015,294.1
2019-12-01,1030,289.0
2019-12-01,1045,306.9
2019-12-01,1100,275.5
2019-12-01,1115,298.6
2019-12-01,1130,298.2
2019-12-01,1145,293.4
2019-12-01,1200,279.4
2019-12-01,1215,370.3
2019-12-01,1230,314.2
2019-12-01,1245,356.9
2019-12-01,1300,314.6
2019-12-01,1315,297.9
2019-12-01,1330,323.9
2019-12-01,1345,343.7
2019-12-01,1400,346.6
2019-12-01,1415,399.4
2019-12-01,1430,355.9
2019-12-01,1445,330.3
2019-12-01,1500,305.3
2019-12-01,1515,336.3
2019-12-01,1530,363.6
2019-12-01,1545,387.0
2019-12-01,1600,344.05
2019-12-01,1615,301.1
2019-12-01,1630,253.4
2019-12-01,1645,313.0
2019-12-01,1700,299.8
2019-12-01,1715,354.6
2019-12-01,1730,321.6
2019-12-01,1745,302.7
2019-12-01,1800,303.7
2019-12-01,1815,298.9
2019-12-01,1830,281.9
2019-12-01,1845,297.3
2019-12-01,1900,278.4
2019-12-01,1915,233.3
2019-12-01,1930,350.8
2019-12-01,1945,309.1
2019-12-01,2000,338.6
2019-12-01,2015,338.3
2019-12-01,2030,343.7
2019-12-01,2045,313.6
2019-12-01,2100,351.8
2019-12-01,2115,354.6
2019-12-01,2130,335.4
2019-12-01,2145,360.4
2019-12-01,2200,301.8
2019-12-01,2215,313.3
2019-12-01,2230,345.6
2019-12-01,2245,314.6
2019-12-01,2300,351.7
2019-12-01,2315,345.3
2019-12-01,2330,309.5
2019-12-01,2345,355.3
2019-12-02,0000,300.8
2019-12-02,0015,332.5
2019-12-02,0030,304.3
2019-12-02,0045,307.9
2019-12-02,0100,335.0
2019-12-02,0115,342.7
2019-12-02,0130,303.7
2019-12-02,0145,270.4
2019-12-02,0200,274.6
2019-12-02,0215,350.5
2019-12-02,0230,318.4
2019-12-02,0245,319.4
2019-12-02,0300,330.0
2019-12-02,0315,346.2
2019-12-02,0330,288.6
2019-12-02,0345,343.4
2019-12-02,0400,339.9
2019-12-02,0415,312.3
2019-12-02,0430,309.8
2019-12-02,0445,320.0
2019-12-02,0500,319.7
2019-12-02,0515,321.9
2019-12-02,0530,326.1
2019-12-02,0545,316.2
2019-12-02,0600,317.8
2019-12-02,0615,325.5
2019-12-02,0630,278.4
2019-12-02,0645,312.0
2019-12-02,0700,317.1
2019-12-02,0715,257.2
2019-12-02,0730,259.8
2019-12-02,0745,293.8
2019-12-02,0800,280.3
2019-12-02,0815,310.4
2019-12-02,0830,305.9
2019-12-02,0845,252.8
2019-12-02,0900,302.4
2019-12-02,0915,262.4
2019-12-02,0930,296.0
2019-12-02,0945,284.2
2019-12-02,1000,292.2
2019-12-02,1015,292.5
2019-12-02,1030,305.6
2019-12-02,1045,293.1
2019-12-02,1100,288.0
2019-12-02,1115,272.3
2019-12-02,1130,284.2
2019-12-02,1145,288.3
2019-12-02,1200,306.3
2019-12-02,1215,301.1
2019-12-02,1230,296.3
2019-12-02,1245,290.9
2019-12-02,1300,368.6
2019-12-02,1315,337.3
2019-12-02,1330,370.6
2019-12-02,1345,344.7
2019-12-02,1400,406.7
2019-12-02,1415,394.7
2019-12-02,1430,364.2
2019-12-02,1445,406.1
2019-12-02,1500,447.7
2019-12-02,1515,443.1
2019-12-02,1530,437.0
2019-12-02,1545,414.4
2019-12-02,1600,394.4
2019-12-02,1615,423.4
2019-12-02,1630,392.8
2019-12-02,1645,453.3
2019-12-02,1700,566.7
2019-12-02,1715,426.2
2019-12-02,1730,429.8
2019-12-02,1745,517.4
2019-12-02,1800,579.8
2019-12-02,1815,525.1
2019-12-02,1830,490.5
2019-12-02,1845,480.0
2019-12-02,1900,489.8
2019-12-02,1915,448.0
2019-12-02,1930,477.3
2019-12-02,1945,437.1
2019-12-02,2000,475.4
2019-12-02,2015,489.5
2019-12-02,2030,447.0
2019-12-02,2045,421.6
2019-12-02,2100,440.6
2019-12-02,2115,418.4
2019-12-02,2130,392.8
2019-12-02,2145,409.3
2019-12-02,2200,375.0
2019-12-02,2215,369.1
2019-12-02,2230,350.4
2019-12-02,2245,382.1
2019-12-02,2300,362.0
2019-12-02,2315,349.5
2019-12-02,2330,328.6
2019-12-02,2345,379.3
2019-12-03,0000,358.4
2019-12-03,0015,318.1
2019-12-03,0030,371.2
2019-12-03,0045,388.8
2019-12-03,0100,387.3
2019-12-03,0115,365.5
2019-12-03,0130,444.2
2019-12-03,0145,361.0
2019-12-03,0200,409.6
2019-12-03,0215,367.1
2019-12-03,0230,422.4
2019-12-03,0245,333.5
2019-12-03,0300,343.7
2019-12-03,0315,339.9
2019-12-03,0330,370.7
2019-12-03,0345,340.2
2019-12-03,0400,316.8
2019-12-03,0415,331.6
2019-12-03,0430,330.2
2019-12-03,0445,326.1
2019-12-03,0500,345.6
2019-12-03,0515,358.4
2019-12-03,0530,324.5
2019-12-03,0545,345.3
2019-12-03,0600,350.1
2019-12-03,0615,376.3
2019-12-03,0630,357.2
2019-12-03,0645,329.0
2019-12-03,0700,361.9
2019-12-03,0715,344.4
2019-12-03,0730,357.4
2019-12-03,0745,397.2
2019-12-03,0800,348.2
2019-12-03,0815,337.9
2019-12-03,0830,365.1
2019-12-03,0845,360.6
2019-12-03,0900,323.5
2019-12-03,0915,377.0
2019-12-03,0930,359.7
2019-12-03,0945,362.0
2019-12-03,1000,367.4
2019-12-03,1015,332.8
2019-12-03,1030,389.2
2019-12-03,1045,386.9
2019-12-03,1100,383.7
2019-12-03,1115,333.8
2019-12-03,1130,332.5
2019-12-03,1145,401.1
2019-12-03,1200,402.7
2019-12-03,1215,386.3
2019-12-03,1230,405.4
2019-12-03,1245,410.6
2019-12-03,1300,415.5
2019-12-03,1315,385.0
2019-12-03,1330,429.8
2019-12-03,1345,394.7
2019-12-03,1400,373.8
2019-12-03,1415,406.2
2019-12-03,1430,464.3
2019-12-03,1445,504.6
2019-12-03,1500,489.3
2019-12-03,1515,468.0
2019-12-03,1530,496.2
2019-12-03,1545,500.2
2019-12-03,1600,464.9
2019-12-03,1615,429.6
2019-12-03,1630,460.2
2019-12-03,1645,408.1
2019-12-03,1700,444.2
2019-12-03,1715,412.0
2019-12-03,1730,439.7
2019-12-03,1745,456.0
2019-12-03,1800,472.3
2019-12-03,1815,470.0
2019-12-03,1830,474.2
2019-12-03,1845,436.8
2019-12-03,1900,497.6
2019-12-03,1915,463.9
2019-12-03,1930,453.6
2019-12-03,1945,459.2
2019-12-03,2000,413.3
2019-12-03,2015,408.8
2019-12-03,2030,426.6
2019-12-03,2045,416.1
2019-12-03,2100,424.3
2019-12-03,2115,395.3
2019-12-03,2130,416.3
2019-12-03,2145,457.8
2019-12-03,2200,418.05
2019-12-03,2215,378.3
2019-12-03,2230,353.0
2019-12-03,2245,349.5
2019-12-03,2300,355.8
2019-12-03,2315,356.5
2019-12-03,2330,337.7
2019-12-03,2345,323.8
2019-12-04,0000,351.7
2019-12-04,0015,362.6
2019-12-04,0030,347.5
2019-12-04,0045,330.6
2019-12-04,0100,345.65
2019-12-04,0115,360.7
2019-12-04,0130,345.0
2019-12-04,0145,338.6
2019-12-04,0200,355.3
2019-12-04,0215,356.5
2019-12-04,0230,337.9
2019-12-04,0245,340.8
2019-12-04,0300,334.5
2019-12-04,0315,329.0
2019-12-04,0330,320.0
2019-12-04,0345,375.0
2019-12-04,0400,386.0
2019-12-04,0415,324.5
2019-12-04,0430,326.1
2019-12-04,0445,343.4
2019-12-04,0500,364.8
2019-12-04,0515,201.8
2019-12-04,0530,118.2
2019-12-04,0545,338.9
2019-12-04,0600,337.0
2019-12-04,0615,329.6
2019-12-04,0630,343.7
2019-12-04,0645,357.8
2019-12-04,0700,351.4
2019-12-04,0715,355.0
2019-12-04,0730,350.5
2019-12-04,0745,376.7
2019-12-04,0800,316.5
2019-12-04,0815,359.1
2019-12-04,0830,373.4
2019-12-04,0845,309.1
2019-12-04,0900,352.3
2019-12-04,0915,352.1
2019-12-04,0930,326.4
2019-12-04,0945,367.8
2019-12-04,1000,343.7
2019-12-04,1015,340.5
2019-12-04,1030,330.2
2019-12-04,1045,372.9
2019-12-04,1100,353.4
2019-12-04,1115,351.4
2019-12-04,1130,373.2
2019-12-04,1145,340.8
2019-12-04,1200,367.4
2019-12-04,1215,363.3
2019-12-04,1230,366.7
2019-12-04,1245,286.7
2019-12-04,1300,407.2
2019-12-04,1315,376.1
2019-12-04,1330,340.5
2019-12-04,1345,343.7
2019-12-04,1400,371.9
2019-12-04,1415,370.9
2019-12-04,1430,411.8
2019-12-04,1445,403.6
2019-12-04,1500,393.6
2019-12-04,1515,415.5
2019-12-04,1530,430.2
2019-12-04,1545,419.8
2019-12-04,1600,426.7
2019-12-04,1615,385.0
2019-12-04,1630,407.0
2019-12-04,1645,436.3
2019-12-04,1700,384.1
2019-12-04,1715,388.2
2019-12-04,1730,425.4
2019-12-04,1745,415.4
2019-12-04,1800,447.5
2019-12-04,1815,428.2
2019-12-04,1830,441.3
2019-12-04,1845,400.8
2019-12-04,1900,394.6
2019-12-04,1915,407.5
2019-12-04,1930,422.1
2019-12-04,1945,404.9
2019-12-04,2000,409.9
2019-12-04,2015,405.8
2019-12-04,2030,459.1
2019-12-04,2045,440.2
2019-12-04,2100,444.3
