Day,Interval,Quantity
2019-12-01,0500,29.0
2019-12-01,0515,28.0
2019-12-01,0530,28.0
2019-12-01,0545,27.0
2019-12-01,0600,28.0
2019-12-01,0615,27.0
2019-12-01,0630,30.0
2019-12-01,0645,27.0
2019-12-01,0700,27.0
2019-12-01,0715,27.0
2019-12-01,0730,25.0
2019-12-01,0745,27.0
2019-12-01,0800,27.0
2019-12-01,0815,28.0
2019-12-01,0830,27.0
2019-12-01,0845,28.0
2019-12-01,0900,26.0
2019-12-01,0915,26.0
2019-12-01,0930,28.0
2019-12-01,0945,27.0
2019-12-01,1000,28.0
2019-12-01,1015,28.0
2019-12-01,1030,28.0
2019-12-01,1045,28.0
2019-12-01,1100,27.0
2019-12-01,1115,28.0
2019-12-01,1130,27.0
2019-12-01,1145,26.0
2019-12-01,1200,27.0
2019-12-01,1215,28.0
2019-12-01,1230,28.0
2019-12-01,1245,26.0
2019-12-01,1300,26.0
2019-12-01,1315,28.0
2019-12-01,1330,25.0
2019-12-01,1345,26.0
2019-12-01,1400,26.0
2019-12-01,1415,26.0
2019-12-01,1430,28.0
2019-12-01,1445,28.0
2019-12-01,1500,28.0
2019-12-01,1515,28.0
2019-12-01,1530,30.0
2019-12-01,1545,28.0
2019-12-01,1600,87.5
2019-12-01,1615,27.0
2019-12-01,1630,27.0
2019-12-01,1645,27.0
2019-12-01,1700,28.0
2019-12-01,1715,27.0
2019-12-01,1730,28.0
2019-12-01,1745,26.0
2019-12-01,1800,27.0
2019-12-01,1815,27.0
2019-12-01,1830,28.0
2019-12-01,1845,28.0
2019-12-01,1900,30.0
2019-12-01,1915,28.0
2019-12-01,1930,29.0
2019-12-01,1945,31.0
2019-12-01,2000,28.0
2019-12-01,2015,29.0
2019-12-01,2030,30.0
2019-12-01,2045,29.0
2019-12-01,2100,29.0
2019-12-01,2115,31.0
2019-12-01,2130,29.0
2019-12-01,2145,28.0
2019-12-01,2200,32.0
2019-12-01,2215,28.0
2019-12-01,2230,31.0
2019-12-01,2245,28.0
2019-12-01,2300,30.0
2019-12-01,2315,32.0
2019-12-01,2330,30.0
2019-12-01,2345,31.0
2019-12-02,0000,30.0
2019-12-02,0015,29.0
2019-12-02,0030,29.0
2019-12-02,0045,28.0
2019-12-02,0100,27.0
2019-12-02,0115,27.0
2019-12-02,0130,28.0
2019-12-02,0145,29.0
2019-12-02,0200,29.0
2019-12-02,0215,27.0
2019-12-02,0230,27.0
2019-12-02,0245,27.0
2019-12-02,0300,28.0
2019-12-02,0315,28.0
2019-12-02,0330,28.0
2019-12-02,0345,28.0
2019-12-02,0400,28.0
2019-12-02,0415,30.0
2019-12-02,0430,28.0
2019-12-02,0445,28.0
2019-12-02,0500,28.0
2019-12-02,0515,27.0
2019-12-02,0530,29.0
2019-12-02,0545,27.0
2019-12-02,0600,27.0
2019-12-02,0615,27.0
2019-12-02,0630,28.0
2019-12-02,0645,29.0
2019-12-02,0700,26.0
2019-12-02,0715,26.0
2019-12-02,0730,28.0
2019-12-02,0745,25.0
2019-12-02,0800,29.0
2019-12-02,0815,26.0
2019-12-02,0830,27.0
2019-12-02,0845,26.0
2019-12-02,0900,26.0
2019-12-02,0915,26.0
2019-12-02,0930,26.0
2019-12-02,0945,27.0
2019-12-02,1000,26.0
2019-12-02,1015,29.0
2019-12-02,1030,27.0
2019-12-02,1045,27.0
2019-12-02,1100,29.0
2019-12-02,1115,50.0
2019-12-02,1130,56.1
2019-12-02,1145,48.1
2019-12-02,1200,52.0
2019-12-02,1215,48.0
2019-12-02,1230,46.0
2019-12-02,1245,47.0
2019-12-02,1300,48.1
2019-12-02,1315,48.0
2019-12-02,1330,49.1
2019-12-02,1345,45.0
2019-12-02,1400,49.1
2019-12-02,1415,56.0
2019-12-02,1430,55.1
2019-12-02,1445,60.1
2019-12-02,1500,51.0
2019-12-02,1515,55.1
2019-12-02,1530,55.0
2019-12-02,1545,56.1
2019-12-02,1600,59.0
2019-12-02,1615,54.0
2019-12-02,1630,48.0
2019-12-02,1645,46.1
2019-12-02,1700,51.1
2019-12-02,1715,54.0
2019-12-02,1730,53.1
2019-12-02,1745,65.0
2019-12-02,1800,62.0
2019-12-02,1815,51.1
2019-12-02,1830,54.0
2019-12-02,1845,55.1
2019-12-02,1900,51.0
2019-12-02,1915,55.0
2019-12-02,1930,56.1
2019-12-02,1945,56.0
2019-12-02,2000,54.1
2019-12-02,2015,55.0
2019-12-02,2030,51.1
2019-12-02,2045,56.0
2019-12-02,2100,51.0
2019-12-02,2115,51.0
2019-12-02,2130,54.1
2019-12-02,2145,51.1
2019-12-02,2200,48.0
2019-12-02,2215,50.1
2019-12-02,2230,51.0
2019-12-02,2245,45.0
2019-12-02,2300,52.0
2019-12-02,2315,48.1
2019-12-02,2330,45.1
2019-12-02,2345,51.0
2019-12-03,0000,60.1
2019-12-03,0015,46.0
2019-12-03,0030,51.1
2019-12-03,0045,46.0
2019-12-03,0100,53.0
2019-12-03,0115,53.0
2019-12-03,0130,53.1
2019-12-03,0145,48.0
2019-12-03,0200,47.0
2019-12-03,0215,47.1
2019-12-03,0230,47.0
2019-12-03,0245,38.0
2019-12-03,0300,47.0
2019-12-03,0315,49.1
2019-12-03,0330,40.0
2019-12-03,0345,44.0
2019-12-03,0400,44.0
2019-12-03,0415,34.0
2019-12-03,0430,31.0
2019-12-03,0445,31.0
2019-12-03,0500,32.0
2019-12-03,0515,33.0
2019-12-03,0530,32.0
2019-12-03,0545,31.0
2019-12-03,0600,31.0
2019-12-03,0615,29.0
2019-12-03,0630,30.0
2019-12-03,0645,31.0
2019-12-03,0700,29.0
2019-12-03,0715,30.0
2019-12-03,0730,30.0
2019-12-03,0745,29.0
2019-12-03,0800,30.0
2019-12-03,0815,30.0
2019-12-03,0830,29.0
2019-12-03,0845,29.0
2019-12-03,0900,29.0
2019-12-03,0915,31.0
2019-12-03,0930,29.0
2019-12-03,0945,31.0
2019-12-03,1000,30.0
2019-12-03,1015,34.0
2019-12-03,1030,33.0
2019-12-03,1045,31.0
2019-12-03,1100,32.0
2019-12-03,1115,32.0
2019-12-03,1130,41.0
2019-12-03,1145,45.1
2019-12-03,1200,53.0
2019-12-03,1215,50.1
2019-12-03,1230,59.0
2019-12-03,1245,50.0
2019-12-03,1300,52.0
2019-12-03,1315,46.1
2019-12-03,1330,46.0
2019-12-03,1345,48.0
2019-12-03,1400,47.0
2019-12-03,1415,44.0
2019-12-03,1430,52.1
2019-12-03,1445,56.1
2019-12-03,1500,55.0
2019-12-03,1515,56.1
2019-12-03,1530,61.0
2019-12-03,1545,52.1
2019-12-03,1600,55.0
2019-12-03,1615,51.0
2019-12-03,1630,46.0
2019-12-03,1645,47.0
2019-12-03,1700,51.1
