Day,Interval,Quantity
2019-12-01,0500,3.0
2019-12-01,0515,4.0
2019-12-01,0530,3.0
2019-12-01,0545,4.0
2019-12-01,0600,3.0
2019-12-01,0615,4.0
2019-12-01,0630,4.0
2019-12-01,0645,4.0
2019-12-01,0700,4.0
2019-12-01,0715,4.0
2019-12-01,0730,4.0
2019-12-01,0745,3.0
2019-12-01,0800,4.0
2019-12-01,0815,4.0
2019-12-01,0830,4.0
2019-12-01,0845,3.0
2019-12-01,0900,3.0
2019-12-01,0915,4.0
2019-12-01,0930,2.0
2019-12-01,0945,3.0
2019-12-01,1000,3.0
2019-12-01,1015,3.0
2019-12-01,1030,3.0
2019-12-01,1045,3.0
2019-12-01,1100,2.0
2019-12-01,1115,3.0
2019-12-01,1130,3.0
2019-12-01,1145,3.0
2019-12-01,1200,3.0
2019-12-01,1215,2.0
2019-12-01,1230,3.0
2019-12-01,1245,3.0
2019-12-01,1300,3.0
2019-12-01,1315,3.0
2019-12-01,1330,3.0
2019-12-01,1345,3.0
2019-12-01,1400,3.0
2019-12-01,1415,3.0
2019-12-01,1430,3.0
2019-12-01,1445,3.0
2019-12-01,1500,3.0
2019-12-01,1515,3.0
2019-12-01,1530,3.0
2019-12-01,1545,3.0
2019-12-01,1600,3.0
2019-12-01,1615,3.0
2019-12-01,1630,3.0
2019-12-01,1645,3.0
2019-12-01,1700,3.0
2019-12-01,1715,3.0
2019-12-01,1730,3.0
2019-12-01,1745,4.0
2019-12-01,1800,3.0
2019-12-01,1815,3.0
2019-12-01,1830,3.0
2019-12-01,1845,3.0
2019-12-01,1900,3.0
2019-12-01,1915,3.0
2019-12-01,1930,3.0
2019-12-01,1945,3.0
2019-12-01,2000,3.0
2019-12-01,2015,3.0
2019-12-01,2030,3.0
2019-12-01,2045,4.0
2019-12-01,2100,4.0
2019-12-01,2115,3.0
2019-12-01,2130,4.0
2019-12-01,2145,4.0
2019-12-01,2200,4.0
2019-12-01,2215,4.0
2019-12-01,2230,4.0
2019-12-01,2245,3.0
2019-12-01,2300,4.0
2019-12-01,2315,4.0
2019-12-01,2330,4.0
2019-12-01,2345,4.0
2019-12-02,0000,5.0
2019-12-02,0015,5.0
2019-12-02,0030,4.0
2019-12-02,0045,4.0
2019-12-02,0100,5.0
2019-12-02,0115,6.0
2019-12-02,0130,5.0
2019-12-02,0145,5.0
2019-12-02,0200,5.0
2019-12-02,0215,5.0
2019-12-02,0230,5.0
2019-12-02,0245,6.0
2019-12-02,0300,6.0
2019-12-02,0315,5.0
2019-12-02,0330,6.0
2019-12-02,0345,5.0
2019-12-02,0400,5.0
2019-12-02,0415,5.0
2019-12-02,0430,4.0
2019-12-02,0445,5.0
2019-12-02,0500,5.0
2019-12-02,0515,4.0
2019-12-02,0530,4.0
2019-12-02,0545,4.0
2019-12-02,0600,4.0
2019-12-02,0615,4.0
2019-12-02,0630,4.0
2019-12-02,0645,4.0
2019-12-02,0700,4.0
2019-12-02,0715,4.0
2019-12-02,0730,4.0
2019-12-02,0745,3.0
2019-12-02,0800,4.0
2019-12-02,0815,3.0
2019-12-02,0830,4.0
2019-12-02,0845,3.0
2019-12-02,0900,3.0
2019-12-02,0915,3.0
2019-12-02,0930,3.0
2019-12-02,0945,3.0
2019-12-02,1000,3.0
2019-12-02,1015,3.0
2019-12-02,1030,3.0
2019-12-02,1045,3.0
2019-12-02,1100,3.0
2019-12-02,1115,4.0
2019-12-02,1130,3.0
2019-12-02,1145,3.0
2019-12-02,1200,3.0
2019-12-02,1215,4.0
2019-12-02,1230,3.0
2019-12-02,1245,3.0
2019-12-02,1300,3.0
2019-12-02,1315,3.0
2019-12-02,1330,3.0
2019-12-02,1345,3.0
2019-12-02,1400,3.0
2019-12-02,1415,3.0
2019-12-02,1430,3.0
2019-12-02,1445,3.0
2019-12-02,1500,3.0
2019-12-02,1515,3.0
2019-12-02,1530,4.0
2019-12-02,1545,3.0
2019-12-02,1600,3.0
2019-12-02,1615,3.0
2019-12-02,1630,3.0
2019-12-02,1645,3.0
2019-12-02,1700,3.0
2019-12-02,1715,4.0
2019-12-02,1730,3.0
2019-12-02,1745,4.0
2019-12-02,1800,3.0
2019-12-02,1815,4.0
2019-12-02,1830,3.0
2019-12-02,1845,3.0
2019-12-02,1900,3.0
2019-12-02,1915,4.0
2019-12-02,1930,3.0
2019-12-02,1945,3.0
2019-12-02,2000,4.0
2019-12-02,2015,4.0
2019-12-02,2030,4.0
2019-12-02,2045,4.0
2019-12-02,2100,4.0
2019-12-02,2115,5.0
2019-12-02,2130,4.0
2019-12-02,2145,4.0
2019-12-02,2200,5.0
2019-12-02,2215,4.0
2019-12-02,2230,4.0
2019-12-02,2245,3.0
2019-12-02,2300,4.0
2019-12-02,2315,4.0
2019-12-02,2330,4.0
2019-12-02,2345,4.0
2019-12-03,0000,4.0
2019-12-03,0015,4.0
2019-12-03,0030,4.0
2019-12-03,0045,4.0
2019-12-03,0100,4.0
2019-12-03,0115,4.0
2019-12-03,0130,4.0
2019-12-03,0145,5.0
2019-12-03,0200,4.0
2019-12-03,0215,5.0
2019-12-03,0230,4.0
2019-12-03,0245,4.0
2019-12-03,0300,5.0
2019-12-03,0315,4.0
2019-12-03,0330,5.0
2019-12-03,0345,5.0
2019-12-03,0400,5.0
2019-12-03,0415,4.0
2019-12-03,0430,5.0
2019-12-03,0445,4.0
2019-12-03,0500,4.0
2019-12-03,0515,4.0
2019-12-03,0530,3.0
2019-12-03,0545,4.0
2019-12-03,0600,3.0
2019-12-03,0615,4.0
2019-12-03,0630,4.0
2019-12-03,0645,3.0
