Day,Interval,Quantity
2019-12-01,0500,38.3
2019-12-01,0515,38.4
2019-12-01,0530,38.2
2019-12-01,0545,40.3
2019-12-01,0600,38.3
2019-12-01,0615,36.3
2019-12-01,0630,39.4
2019-12-01,0645,35.0
2019-12-01,0700,42.6
2019-12-01,0715,38.1
2019-12-01,0730,42.1
2019-12-01,0745,39.4
2019-12-01,0800,43.2
2019-12-01,0815,46.9
2019-12-01,0830,38.2
2019-12-01,0845,41.3
2019-12-01,0900,39.0
2019-12-01,0915,37.2
2019-12-01,0930,43.8
2019-12-01,0945,44.5
2019-12-01,1000,42.5
2019-12-01,1015,41.3
2019-12-01,1030,45.2
2019-12-01,1045,47.0
2019-12-01,1100,40.2
2019-12-01,1115,43.9
2019-12-01,1130,46.0
2019-12-01,1145,39.8
2019-12-01,1200,47.2
2019-12-01,1215,45.3
2019-12-01,1230,39.0
2019-12-01,1245,37.7
2019-12-01,1300,35.5
2019-12-01,1315,37.9
2019-12-01,1330,45.5
2019-12-01,1345,41.7
2019-12-01,1400,45.0
2019-12-01,1415,33.7
2019-12-01,1430,37.8
2019-12-01,1445,40.4
2019-12-01,1500,41.2
2019-12-01,1515,42.6
2019-12-01,1530,42.7
2019-12-01,1545,39.5
2019-12-01,1600,46.2
2019-12-01,1615,32.1
2019-12-01,1630,39.5
2019-12-01,1645,25.5
2019-12-01,1700,32.5
2019-12-01,1715,28.5
2019-12-01,1730,39.6
2019-12-01,1745,45.8
2019-12-01,1800,45.5
2019-12-01,1815,47.1
2019-12-01,1830,48.4
2019-12-01,1845,49.6
2019-12-01,1900,52.0
2019-12-01,1915,42.6
2019-12-01,1930,42.5
2019-12-01,1945,41.6
2019-12-01,2000,37.4
2019-12-01,2015,41.8
2019-12-01,2030,41.6
2019-12-01,2045,41.8
2019-12-01,2100,42.2
2019-12-01,2115,47.3
2019-12-01,2130,39.7
2019-12-01,2145,42.5
2019-12-01,2200,43.1
2019-12-01,2215,39.6
2019-12-01,2230,45.1
2019-12-01,2245,46.9
2019-12-01,2300,40.5
2019-12-01,2315,40.4
2019-12-01,2330,39.3
2019-12-01,2345,39.0
2019-12-02,0000,39.8
2019-12-02,0015,48.7
2019-12-02,0030,50.1
2019-12-02,0045,44.2
2019-12-02,0100,41.0
2019-12-02,0115,42.2
2019-12-02,0130,40.5
2019-12-02,0145,42.3
2019-12-02,0200,47.4
2019-12-02,0215,45.2
2019-12-02,0230,45.4
2019-12-02,0245,40.9
2019-12-02,0300,39.6
2019-12-02,0315,47.9
2019-12-02,0330,39.9
2019-12-02,0345,40.6
2019-12-02,0400,41.5
2019-12-02,0415,43.2
2019-12-02,0430,47.2
2019-12-02,0445,52.2
2019-12-02,0500,47.8
2019-12-02,0515,43.3
2019-12-02,0530,45.2
2019-12-02,0545,48.0
2019-12-02,0600,41.1
2019-12-02,0615,39.8
2019-12-02,0630,40.1
2019-12-02,0645,49.3
2019-12-02,0700,44.4
2019-12-02,0715,45.7
2019-12-02,0730,47.3
2019-12-02,0745,47.3
2019-12-02,0800,39.6
2019-12-02,0815,46.3
2019-12-02,0830,43.7
2019-12-02,0845,45.0
2019-12-02,0900,44.1
2019-12-02,0915,49.6
2019-12-02,0930,45.2
2019-12-02,0945,39.3
