Day,Interval,Quantity
2019-02-01,0500,2019-02-01
2019-02-01,0515,2019-02-01
2019-02-01,0530,2019-02-01
2019-02-01,0545,2019-02-01
2019-02-01,0600,2019-02-01
2019-02-01,0615,2019-02-01
2019-02-01,0630,2019-02-01
2019-02-01,0645,2019-02-01
2019-02-01,0700,2019-02-01
2019-02-01,0715,2019-02-01
2019-02-01,0730,2019-02-01
2019-02-01,0745,2019-02-01
2019-02-01,0800,2019-02-01
2019-02-01,0815,2019-02-01
2019-02-01,0830,2019-02-01
2019-02-01,0845,2019-02-01
2019-02-01,0900,2019-02-01
2019-02-01,0915,2019-02-01
2019-02-01,0930,2019-02-01
2019-02-01,0945,2019-02-01
2019-02-01,1000,2019-02-01
2019-02-01,1015,2019-02-01
2019-02-01,1030,2019-02-01
2019-02-01,1045,2019-02-01
2019-02-01,1100,2019-02-01
2019-02-01,1115,2019-02-01
2019-02-01,1130,2019-02-01
2019-02-01,1145,2019-02-01
2019-02-01,1200,2019-02-01
2019-02-01,1215,2019-02-01
2019-02-01,1230,2019-02-01
2019-02-01,1245,2019-02-01
2019-02-01,1300,2019-02-01
2019-02-01,1315,2019-02-01
2019-02-01,1330,2019-02-01
2019-02-01,1345,2019-02-01
2019-02-01,1400,2019-02-01
2019-02-01,1415,2019-02-01
2019-02-01,1430,2019-02-01
2019-02-01,1445,2019-02-01
2019-02-01,1500,2019-02-01
2019-02-01,1515,2019-02-01
2019-02-01,1530,2019-02-01
2019-02-01,1545,2019-02-01
2019-02-01,1600,2019-02-01
2019-02-01,1615,2019-02-01
2019-02-01,1630,2019-02-01
2019-02-01,1645,2019-02-01
2019-02-01,1700,2019-02-01
2019-02-01,1715,2019-02-01
2019-02-01,1730,2019-02-01
2019-02-01,1745,2019-02-01
2019-02-01,1800,2019-02-01
2019-02-01,1815,2019-02-01
2019-02-01,1830,2019-02-01
2019-02-01,1845,2019-02-01
2019-02-01,1900,2019-02-01
2019-02-01,1915,2019-02-01
2019-02-01,1930,2019-02-01
2019-02-01,1945,2019-02-01
2019-02-01,2000,2019-02-01
2019-02-01,2015,2019-02-01
2019-02-01,2030,2019-02-01
2019-02-01,2045,2019-02-01
2019-02-01,2100,2019-02-01
2019-02-01,2115,2019-02-01
2019-02-01,2130,2019-02-01
2019-02-01,2145,2019-02-01
2019-02-01,2200,2019-02-01
2019-02-01,2215,2019-02-01
2019-02-01,2230,2019-02-01
2019-02-01,2245,2019-02-01
2019-02-01,2300,2019-02-01
2019-02-01,2315,2019-02-01
2019-02-01,2330,2019-02-01
2019-02-01,2345,2019-02-01
2019-02-02,0000,2019-02-02
2019-02-02,0015,2019-02-02
2019-02-02,0030,2019-02-02
2019-02-02,0045,2019-02-02
2019-02-02,0100,2019-02-02
2019-02-02,0115,2019-02-02
2019-02-02,0130,2019-02-02
2019-02-02,0145,2019-02-02
2019-02-02,0200,2019-02-02
2019-02-02,0215,2019-02-02
2019-02-02,0230,2019-02-02
2019-02-02,0245,2019-02-02
2019-02-02,0300,2019-02-02
2019-02-02,0315,2019-02-02
2019-02-02,0330,2019-02-02
2019-02-02,0345,2019-02-02
2019-02-02,0400,2019-02-02
