Day,Interval,Quantity
2017-08-18,1930,7.0
2017-08-18,1945,7.0
2017-08-18,2000,6.0
2017-08-18,2015,7.0
2017-08-18,2030,7.0
2017-08-18,2045,6.0
2017-08-18,2100,7.0
2017-08-18,2115,7.0
2017-08-18,2130,6.0
2017-08-18,2145,7.0
2017-08-18,2200,7.0
2017-08-18,2215,6.0
2017-08-18,2230,7.0
2017-08-18,2245,7.0
2017-08-18,2300,7.0
2017-08-18,2315,7.0
2017-08-18,2330,8.0
2017-08-18,2345,10.0
2017-08-19,0000,11.0
2017-08-19,0015,11.0
2017-08-19,0030,10.0
2017-08-19,0045,11.0
2017-08-19,0100,11.0
2017-08-19,0115,11.0
2017-08-19,0130,10.0
2017-08-19,0145,11.0
2017-08-19,0200,11.0
2017-08-19,0215,11.0
2017-08-19,0230,10.0
2017-08-19,0245,11.0
2017-08-19,0300,11.0
2017-08-19,0315,11.0
2017-08-19,0330,11.0
2017-08-19,0345,10.0
2017-08-19,0400,11.0
2017-08-19,0415,9.0
2017-08-19,0430,9.0
2017-08-19,0445,9.0
2017-08-19,0500,8.0
2017-08-19,0515,9.0
2017-08-19,0530,9.0
2017-08-19,0545,9.0
2017-08-19,0600,9.0
2017-08-19,0615,8.0
2017-08-19,0630,9.0
2017-08-19,0645,9.0
2017-08-19,0700,9.0
2017-08-19,0715,9.0
2017-08-19,0730,9.0
2017-08-19,0745,8.0
2017-08-19,0800,9.0
2017-08-19,0815,9.0
2017-08-19,0830,9.0
2017-08-19,0845,11.0
2017-08-19,0900,10.0
2017-08-19,0915,11.0
2017-08-19,0930,11.0
2017-08-19,0945,9.0
2017-08-19,1000,7.0
2017-08-19,1015,7.0
2017-08-19,1030,7.0
2017-08-19,1045,8.0
2017-08-19,1100,7.0
2017-08-19,1115,7.0
2017-08-19,1130,6.0
2017-08-19,1145,8.0
2017-08-19,1200,6.0
2017-08-19,1215,7.0
2017-08-19,1230,7.0
2017-08-19,1245,8.0
2017-08-19,1300,6.0
2017-08-19,1315,7.0
2017-08-19,1330,7.0
2017-08-19,1345,7.0
2017-08-19,1400,6.0
2017-08-19,1415,7.0
