Day,Interval,Quantity
2019-12-01,0500,138.2
2019-12-01,0515,135.8
2019-12-01,0530,135.8
2019-12-01,0545,140.8
2019-12-01,0600,141.0
2019-12-01,0615,135.7
2019-12-01,0630,135.7
2019-12-01,0645,135.8
2019-12-01,0700,135.7
2019-12-01,0715,138.2
2019-12-01,0730,135.8
2019-12-01,0745,138.2
2019-12-01,0800,135.8
2019-12-01,0815,138.4
2019-12-01,0830,138.2
2019-12-01,0845,135.8
2019-12-01,0900,140.8
2019-12-01,0915,138.4
2019-12-01,0930,140.8
2019-12-01,0945,138.2
2019-12-01,1000,138.4
2019-12-01,1015,138.2
2019-12-01,1030,138.4
2019-12-01,1045,138.2
2019-12-01,1100,135.7
2019-12-01,1115,135.8
2019-12-01,1130,138.2
2019-12-01,1145,141.0
2019-12-01,1200,135.7
2019-12-01,1215,133.3
2019-12-01,1230,135.7
2019-12-01,1245,135.8
2019-12-01,1300,138.4
2019-12-01,1315,138.2
2019-12-01,1330,138.4
2019-12-01,1345,138.2
2019-12-01,1400,138.4
2019-12-01,1415,145.9
2019-12-01,1430,138.4
2019-12-01,1445,140.8
2019-12-01,1500,138.2
2019-12-01,1515,143.4
2019-12-01,1530,169.1
2019-12-01,1545,174.3
2019-12-01,1600,175.55
2019-12-01,1615,176.8
2019-12-01,1630,174.1
2019-12-01,1645,179.4
2019-12-01,1700,194.6
2019-12-01,1715,209.9
2019-12-01,1730,202.5
2019-12-01,1745,202.5
2019-12-01,1800,202.5
2019-12-01,1815,204.8
2019-12-01,1830,202.2
2019-12-01,1845,202.2
2019-12-01,1900,204.8
2019-12-01,1915,212.5
2019-12-01,1930,212.7
2019-12-01,1945,209.9
2019-12-01,2000,212.7
2019-12-01,2015,207.6
2019-12-01,2030,210.2
2019-12-01,2045,207.4
2019-12-01,2100,217.8
2019-12-01,2115,210.2
2019-12-01,2130,215.0
2019-12-01,2145,210.2
2019-12-01,2200,209.9
2019-12-01,2215,210.2
2019-12-01,2230,207.4
2019-12-01,2245,207.4
2019-12-01,2300,207.6
2019-12-01,2315,215.0
2019-12-01,2330,212.7
