Day,Interval,Quantity
2019-12-01,0500,20.0
2019-12-01,0515,19.0
2019-12-01,0530,20.0
2019-12-01,0545,22.0
2019-12-01,0600,19.0
2019-12-01,0615,19.0
2019-12-01,0630,20.0
2019-12-01,0645,19.0
2019-12-01,0700,22.0
2019-12-01,0715,20.0
2019-12-01,0730,19.0
2019-12-01,0745,20.0
2019-12-01,0800,19.0
2019-12-01,0815,21.0
2019-12-01,0830,21.0
2019-12-01,0845,19.0
2019-12-01,0900,19.0
2019-12-01,0915,19.0
2019-12-01,0930,21.0
2019-12-01,0945,21.0
2019-12-01,1000,19.0
2019-12-01,1015,19.0
2019-12-01,1030,20.0
2019-12-01,1045,19.0
2019-12-01,1100,23.0
2019-12-01,1115,19.0
2019-12-01,1130,19.0
2019-12-01,1145,19.0
2019-12-01,1200,20.0
2019-12-01,1215,22.0
2019-12-01,1230,19.0
2019-12-01,1245,20.0
2019-12-01,1300,19.0
2019-12-01,1315,19.0
2019-12-01,1330,22.0
2019-12-01,1345,20.0
2019-12-01,1400,19.0
2019-12-01,1415,19.0
2019-12-01,1430,19.0
2019-12-01,1445,21.0
2019-12-01,1500,20.0
2019-12-01,1515,20.0
2019-12-01,1530,19.0
2019-12-01,1545,19.85
2019-12-01,1600,20.7
2019-12-01,1615,22.0
2019-12-01,1630,21.0
2019-12-01,1645,21.0
2019-12-01,1700,19.0
2019-12-01,1715,20.0
2019-12-01,1730,21.0
2019-12-01,1745,19.0
2019-12-01,1800,19.0
2019-12-01,1815,18.0
2019-12-01,1830,18.0
2019-12-01,1845,20.0
2019-12-01,1900,22.0
2019-12-01,1915,19.0
2019-12-01,1930,20.0
2019-12-01,1945,20.0
2019-12-01,2000,19.0
2019-12-01,2015,21.0
2019-12-01,2030,20.0
2019-12-01,2045,19.0
2019-12-01,2100,19.0
2019-12-01,2115,19.0
2019-12-01,2130,20.0
2019-12-01,2145,23.0
2019-12-01,2200,20.0
2019-12-01,2215,19.0
2019-12-01,2230,19.0
2019-12-01,2245,18.0
2019-12-01,2300,22.0
2019-12-01,2315,20.0
2019-12-01,2330,19.0
2019-12-01,2345,20.0
2019-12-02,0000,18.0
2019-12-02,0015,19.0
2019-12-02,0030,22.0
2019-12-02,0045,18.0
2019-12-02,0100,19.0
2019-12-02,0115,18.0
2019-12-02,0130,19.0
2019-12-02,0145,20.0
2019-12-02,0200,22.0
2019-12-02,0215,20.0
2019-12-02,0230,20.0
2019-12-02,0245,20.0
2019-12-02,0300,20.0
2019-12-02,0315,23.0
2019-12-02,0330,22.0
2019-12-02,0345,21.0
2019-12-02,0400,21.0
2019-12-02,0415,20.0
2019-12-02,0430,21.0
2019-12-02,0445,24.0
2019-12-02,0500,21.0
2019-12-02,0515,20.0
2019-12-02,0530,21.0
2019-12-02,0545,20.0
