Day,Interval,Quantity
2019-12-01,0500,22.2
2019-12-01,0515,24.8
2019-12-01,0530,29.2
2019-12-01,0545,25.5
2019-12-01,0600,22.6
2019-12-01,0615,24.6
2019-12-01,0630,29.5
2019-12-01,0645,25.4
2019-12-01,0700,22.2
2019-12-01,0715,24.4
2019-12-01,0730,28.9
2019-12-01,0745,29.2
2019-12-01,0800,24.8
2019-12-01,0815,23.0
2019-12-01,0830,26.1
2019-12-01,0845,29.8
2019-12-01,0900,28.7
2019-12-01,0915,23.3
2019-12-01,0930,25.2
2019-12-01,0945,31.5
2019-12-01,1000,31.3
2019-12-01,1015,26.1
2019-12-01,1030,24.8
2019-12-01,1045,25.6
2019-12-01,1100,29.1
2019-12-01,1115,35.6
2019-12-01,1130,42.8
2019-12-01,1145,44.1
2019-12-01,1200,43.5
2019-12-01,1215,43.6
2019-12-01,1230,43.7
2019-12-01,1245,43.5
2019-12-01,1300,45.7
2019-12-01,1315,47.2
2019-12-01,1330,41.1
2019-12-01,1345,39.2
2019-12-01,1400,39.3
2019-12-01,1415,38.0
2019-12-01,1430,37.9
2019-12-01,1445,38.6
2019-12-01,1500,37.6
2019-12-01,1515,37.4
2019-12-01,1530,37.6
2019-12-01,1545,37.6
2019-12-01,1600,37.8
2019-12-01,1615,37.7
2019-12-01,1630,43.5
2019-12-01,1645,38.5
2019-12-01,1700,39.1
2019-12-01,1715,37.7
2019-12-01,1730,39.8
2019-12-01,1745,43.2
2019-12-01,1800,43.3
2019-12-01,1815,45.3
2019-12-01,1830,44.9
2019-12-01,1845,44.9
2019-12-01,1900,49.9
2019-12-01,1915,45.8
2019-12-01,1930,44.9
2019-12-01,1945,44.6
2019-12-01,2000,46.6
2019-12-01,2015,48.9
2019-12-01,2030,49.6
2019-12-01,2045,51.0
2019-12-01,2100,55.3
2019-12-01,2115,49.9
2019-12-01,2130,54.7
2019-12-01,2145,58.6
2019-12-01,2200,50.8
2019-12-01,2215,50.0
2019-12-01,2230,44.9
2019-12-01,2245,44.8
2019-12-01,2300,35.2
2019-12-01,2315,40.7
2019-12-01,2330,40.1
2019-12-01,2345,41.2
2019-12-02,0000,41.3
2019-12-02,0015,43.1
2019-12-02,0030,40.0
2019-12-02,0045,38.9
2019-12-02,0100,34.6
2019-12-02,0115,24.5
2019-12-02,0130,21.0
2019-12-02,0145,20.1
2019-12-02,0200,21.9
2019-12-02,0215,23.0
2019-12-02,0230,29.1
2019-12-02,0245,30.0
2019-12-02,0300,27.9
2019-12-02,0315,29.5
2019-12-02,0330,25.3
2019-12-02,0345,19.6
2019-12-02,0400,24.3
2019-12-02,0415,23.5
2019-12-02,0430,25.3
2019-12-02,0445,23.2
2019-12-02,0500,18.1
2019-12-02,0515,19.5
2019-12-02,0530,24.5
2019-12-02,0545,28.8
2019-12-02,0600,21.4
2019-12-02,0615,18.1
2019-12-02,0630,20.8
2019-12-02,0645,26.5
2019-12-02,0700,23.0
2019-12-02,0715,17.5
2019-12-02,0730,19.0
2019-12-02,0745,23.1
2019-12-02,0800,24.8
2019-12-02,0815,20.5
2019-12-02,0830,19.3
2019-12-02,0845,23.1
2019-12-02,0900,26.7
2019-12-02,0915,22.0
2019-12-02,0930,17.9
2019-12-02,0945,20.0
2019-12-02,1000,24.5
2019-12-02,1015,23.4
2019-12-02,1030,16.6
2019-12-02,1045,17.9
2019-12-02,1100,27.8
2019-12-02,1115,37.2
2019-12-02,1130,42.7
2019-12-02,1145,38.6
2019-12-02,1200,43.7
2019-12-02,1215,38.8
2019-12-02,1230,38.7
2019-12-02,1245,39.0
2019-12-02,1300,39.6
2019-12-02,1315,39.6
2019-12-02,1330,44.7
2019-12-02,1345,46.9
2019-12-02,1400,52.1
2019-12-02,1415,46.9
2019-12-02,1430,48.6
2019-12-02,1445,49.9
2019-12-02,1500,49.7
2019-12-02,1515,50.0
2019-12-02,1530,49.9
2019-12-02,1545,55.0
2019-12-02,1600,53.0
2019-12-02,1615,52.3
2019-12-02,1630,53.9
2019-12-02,1645,56.1
2019-12-02,1700,53.0
2019-12-02,1715,50.6
2019-12-02,1730,49.6
2019-12-02,1745,51.2
2019-12-02,1800,54.4
2019-12-02,1815,56.6
2019-12-02,1830,56.0
2019-12-02,1845,54.4
2019-12-02,1900,53.8
2019-12-02,1915,54.6
2019-12-02,1930,51.5
2019-12-02,1945,55.1
2019-12-02,2000,54.2
2019-12-02,2015,57.0
2019-12-02,2030,55.9
2019-12-02,2045,53.6
2019-12-02,2100,53.8
2019-12-02,2115,52.8
2019-12-02,2130,51.1
2019-12-02,2145,47.2
2019-12-02,2200,53.2
2019-12-02,2215,52.6
2019-12-02,2230,52.1
2019-12-02,2245,45.3
2019-12-02,2300,45.6
2019-12-02,2315,48.6
2019-12-02,2330,50.2
2019-12-02,2345,52.0
2019-12-03,0000,53.3
2019-12-03,0015,52.7
2019-12-03,0030,52.2
2019-12-03,0045,52.5
2019-12-03,0100,49.3
2019-12-03,0115,35.6
2019-12-03,0130,35.9
2019-12-03,0145,34.8
2019-12-03,0200,35.2
2019-12-03,0215,36.1
2019-12-03,0230,33.7
2019-12-03,0245,39.9
2019-12-03,0300,38.5
2019-12-03,0315,34.9
2019-12-03,0330,37.7
2019-12-03,0345,41.4
2019-12-03,0400,38.4
2019-12-03,0415,36.2
2019-12-03,0430,25.7
2019-12-03,0445,27.1
2019-12-03,0500,31.9
2019-12-03,0515,31.4
2019-12-03,0530,25.6
2019-12-03,0545,27.6
2019-12-03,0600,30.1
2019-12-03,0615,32.5
2019-12-03,0630,29.2
2019-12-03,0645,27.0
2019-12-03,0700,29.4
2019-12-03,0715,32.6
2019-12-03,0730,28.5
2019-12-03,0745,27.2
2019-12-03,0800,28.6
2019-12-03,0815,33.3
2019-12-03,0830,31.5
2019-12-03,0845,25.8
2019-12-03,0900,26.9
2019-12-03,0915,29.5
2019-12-03,0930,31.9
2019-12-03,0945,29.0
2019-12-03,1000,24.8
2019-12-03,1015,26.9
2019-12-03,1030,30.8
2019-12-03,1045,27.0
2019-12-03,1100,28.1
2019-12-03,1115,44.9
2019-12-03,1130,45.2
2019-12-03,1145,48.9
2019-12-03,1200,45.4
2019-12-03,1215,48.2
2019-12-03,1230,45.7
2019-12-03,1245,47.3
2019-12-03,1300,52.9
2019-12-03,1315,53.9
2019-12-03,1330,44.3
2019-12-03,1345,46.3
2019-12-03,1400,48.7
2019-12-03,1415,48.9
2019-12-03,1430,48.6
2019-12-03,1445,53.4
2019-12-03,1500,49.6
2019-12-03,1515,53.7
2019-12-03,1530,51.4
2019-12-03,1545,54.7
2019-12-03,1600,56.2
2019-12-03,1615,56.9
2019-12-03,1630,56.5
2019-12-03,1645,57.5
2019-12-03,1700,57.6
2019-12-03,1715,54.1
2019-12-03,1730,54.8
2019-12-03,1745,53.4
2019-12-03,1800,56.3
2019-12-03,1815,57.6
2019-12-03,1830,55.9
2019-12-03,1845,57.9
2019-12-03,1900,58.0
2019-12-03,1915,58.5
2019-12-03,1930,58.3
2019-12-03,1945,58.5
2019-12-03,2000,63.0
2019-12-03,2015,57.3
2019-12-03,2030,56.9
2019-12-03,2045,58.9
2019-12-03,2100,61.6
2019-12-03,2115,57.5
2019-12-03,2130,59.8
2019-12-03,2145,59.6
2019-12-03,2200,60.0
2019-12-03,2215,59.5
2019-12-03,2230,57.6
2019-12-03,2245,56.2
2019-12-03,2300,56.4
2019-12-03,2315,56.6
2019-12-03,2330,56.7
2019-12-03,2345,57.8
2019-12-04,0000,62.5
2019-12-04,0015,57.6
2019-12-04,0030,58.0
2019-12-04,0045,57.3
2019-12-04,0100,53.5
2019-12-04,0115,44.9
2019-12-04,0130,39.9
2019-12-04,0145,32.8
2019-12-04,0200,26.9
2019-12-04,0215,27.5
2019-12-04,0230,32.7
2019-12-04,0245,34.1
2019-12-04,0300,30.6
2019-12-04,0315,24.2
2019-12-04,0330,25.1
2019-12-04,0345,23.5
2019-12-04,0400,29.8
2019-12-04,0415,28.8
2019-12-04,0430,28.1
2019-12-04,0445,22.9
2019-12-04,0500,22.5
2019-12-04,0515,24.9
2019-12-04,0530,29.8
2019-12-04,0545,27.5
2019-12-04,0600,21.4
2019-12-04,0615,23.2
2019-12-04,0630,28.5
2019-12-04,0645,25.0
2019-12-04,0700,21.0
2019-12-04,0715,23.0
2019-12-04,0730,26.4
2019-12-04,0745,26.5
2019-12-04,0800,21.6
2019-12-04,0815,23.2
2019-12-04,0830,25.4
2019-12-04,0845,28.4
2019-12-04,0900,21.1
2019-12-04,0915,21.8
2019-12-04,0930,24.7
2019-12-04,0945,27.3
2019-12-04,1000,24.0
2019-12-04,1015,19.4
2019-12-04,1030,21.6
2019-12-04,1045,25.6
2019-12-04,1100,26.6
2019-12-04,1115,37.6
2019-12-04,1130,44.7
2019-12-04,1145,43.4
2019-12-04,1200,44.1
2019-12-04,1215,40.6
2019-12-04,1230,50.9
2019-12-04,1245,46.3
2019-12-04,1300,56.8
2019-12-04,1315,55.3
2019-12-04,1330,59.4
2019-12-04,1345,62.3
2019-12-04,1400,57.4
2019-12-04,1415,66.2
2019-12-04,1430,60.3
2019-12-04,1445,59.2
2019-12-04,1500,57.6
2019-12-04,1515,59.2
2019-12-04,1530,61.1
2019-12-04,1545,61.3
2019-12-04,1600,64.7
2019-12-04,1615,63.7
2019-12-04,1630,59.1
2019-12-04,1645,56.5
2019-12-04,1700,56.3
2019-12-04,1715,57.6
2019-12-04,1730,58.0
2019-12-04,1745,56.9
2019-12-04,1800,58.0
2019-12-04,1815,57.9
2019-12-04,1830,61.4
2019-12-04,1845,56.5
2019-12-04,1900,58.0
2019-12-04,1915,56.9
2019-12-04,1930,63.6
2019-12-04,1945,59.3
2019-12-04,2000,58.2
2019-12-04,2015,59.4
2019-12-04,2030,56.9
2019-12-04,2045,62.6
2019-12-04,2100,56.5
2019-12-04,2115,55.6
2019-12-04,2130,56.5
2019-12-04,2145,55.7
2019-12-04,2200,57.9
2019-12-04,2215,54.4
2019-12-04,2230,54.1
2019-12-04,2245,57.1
2019-12-04,2300,55.5
2019-12-04,2315,54.0
2019-12-04,2330,54.5
2019-12-04,2345,55.4
2019-12-05,0000,54.9
2019-12-05,0015,51.3
2019-12-05,0030,56.5
2019-12-05,0045,55.1
2019-12-05,0100,52.8
2019-12-05,0115,42.0
2019-12-05,0130,38.1
2019-12-05,0145,39.3
2019-12-05,0200,41.2
2019-12-05,0215,41.5
2019-12-05,0230,40.1
2019-12-05,0245,45.2
2019-12-05,0300,43.1
2019-12-05,0315,44.1
2019-12-05,0330,42.1
2019-12-05,0345,36.0
2019-12-05,0400,29.6
2019-12-05,0415,30.3
2019-12-05,0430,30.0
