Day,Interval,Quantity
2019-12-01,0500,14.4
2019-12-01,0515,11.4
2019-12-01,0530,11.0
2019-12-01,0545,12.0
2019-12-01,0600,13.7
2019-12-01,0615,11.4
2019-12-01,0630,11.4
2019-12-01,0645,11.4
2019-12-01,0700,11.6
2019-12-01,0715,11.6
2019-12-01,0730,11.4
2019-12-01,0745,12.0
2019-12-01,0800,10.8
2019-12-01,0815,10.7
2019-12-01,0830,11.9
2019-12-01,0845,11.3
2019-12-01,0900,11.1
2019-12-01,0915,11.1
2019-12-01,0930,11.7
2019-12-01,0945,11.7
2019-12-01,1000,11.1
2019-12-01,1015,10.9
2019-12-01,1030,10.8
2019-12-01,1045,11.7
2019-12-01,1100,11.1
2019-12-01,1115,11.4
2019-12-01,1130,10.8
2019-12-01,1145,11.3
2019-12-01,1200,11.7
2019-12-01,1215,11.0
2019-12-01,1230,12.5
2019-12-01,1245,11.9
2019-12-01,1300,11.7
2019-12-01,1315,11.1
2019-12-01,1330,11.1
2019-12-01,1345,11.4
2019-12-01,1400,11.1
2019-12-01,1415,11.4
2019-12-01,1430,12.0
2019-12-01,1445,11.0
2019-12-01,1500,11.4
2019-12-01,1515,12.3
2019-12-01,1530,12.8
2019-12-01,1545,11.1
2019-12-01,1600,11.55
2019-12-01,1615,12.0
2019-12-01,1630,12.9
2019-12-01,1645,12.6
2019-12-01,1700,12.0
2019-12-01,1715,13.4
2019-12-01,1730,12.6
2019-12-01,1745,12.0
2019-12-01,1800,12.9
2019-12-01,1815,12.8
2019-12-01,1830,17.2
2019-12-01,1845,16.3
2019-12-01,1900,16.4
2019-12-01,1915,17.2
2019-12-01,1930,12.0
2019-12-01,1945,12.8
2019-12-01,2000,13.2
2019-12-01,2015,13.2
2019-12-01,2030,14.0
2019-12-01,2045,14.6
2019-12-01,2100,14.5
2019-12-01,2115,12.5
2019-12-01,2130,16.7
2019-12-01,2145,19.6
2019-12-01,2200,18.1
2019-12-01,2215,20.8
2019-12-01,2230,16.9
2019-12-01,2245,15.2
2019-12-01,2300,18.1
2019-12-01,2315,17.3
2019-12-01,2330,14.6
2019-12-01,2345,15.4
2019-12-02,0000,14.3
2019-12-02,0015,15.1
2019-12-02,0030,17.6
2019-12-02,0045,18.4
2019-12-02,0100,17.5
2019-12-02,0115,17.9
2019-12-02,0130,15.8
2019-12-02,0145,15.2
2019-12-02,0200,14.4
2019-12-02,0215,14.9
2019-12-02,0230,14.3
2019-12-02,0245,16.0
2019-12-02,0300,14.3
2019-12-02,0315,15.0
2019-12-02,0330,15.4
2019-12-02,0345,15.4
2019-12-02,0400,13.5
2019-12-02,0415,13.8
2019-12-02,0430,13.1
2019-12-02,0445,13.7
2019-12-02,0500,12.9
2019-12-02,0515,15.0
2019-12-02,0530,12.2
2019-12-02,0545,12.6
2019-12-02,0600,13.7
2019-12-02,0615,12.6
2019-12-02,0630,11.6
2019-12-02,0645,13.2
2019-12-02,0700,11.4
2019-12-02,0715,12.0
2019-12-02,0730,12.8
2019-12-02,0745,11.7
2019-12-02,0800,11.1
2019-12-02,0815,11.9
2019-12-02,0830,12.3
2019-12-02,0845,11.4
2019-12-02,0900,12.2
2019-12-02,0915,11.6
2019-12-02,0930,12.2
2019-12-02,0945,12.3
2019-12-02,1000,11.1
2019-12-02,1015,11.7
2019-12-02,1030,12.0
2019-12-02,1045,11.1
2019-12-02,1100,11.7
2019-12-02,1115,10.0
2019-12-02,1130,12.3
2019-12-02,1145,12.5
2019-12-02,1200,10.9
2019-12-02,1215,12.5
2019-12-02,1230,12.6
2019-12-02,1245,12.8
2019-12-02,1300,13.5
2019-12-02,1315,12.9
2019-12-02,1330,13.1
2019-12-02,1345,12.8
2019-12-02,1400,12.6
2019-12-02,1415,12.5
2019-12-02,1430,13.5
2019-12-02,1445,13.4
2019-12-02,1500,13.5
2019-12-02,1515,13.4
2019-12-02,1530,13.5
2019-12-02,1545,12.0
2019-12-02,1600,13.5
2019-12-02,1615,13.1
2019-12-02,1630,13.2
2019-12-02,1645,14.8
2019-12-02,1700,14.0
2019-12-02,1715,12.5
2019-12-02,1730,13.2
2019-12-02,1745,12.8
2019-12-02,1800,13.7
2019-12-02,1815,14.6
2019-12-02,1830,13.2
2019-12-02,1845,13.8
2019-12-02,1900,12.5
2019-12-02,1915,17.6
2019-12-02,1930,14.9
2019-12-02,1945,15.5
2019-12-02,2000,16.9
2019-12-02,2015,15.8
2019-12-02,2030,12.8
2019-12-02,2045,16.1
2019-12-02,2100,15.8
2019-12-02,2115,15.7
2019-12-02,2130,18.0
2019-12-02,2145,15.0
2019-12-02,2200,18.2
2019-12-02,2215,15.8
2019-12-02,2230,17.3
2019-12-02,2245,14.9
2019-12-02,2300,14.6
2019-12-02,2315,14.9
2019-12-02,2330,14.9
