Day,Interval,Quantity
2019-12-01,0500,77.0
2019-12-01,0515,76.0
2019-12-01,0530,80.1
2019-12-01,0545,74.0
2019-12-01,0600,84.0
2019-12-01,0615,87.0
2019-12-01,0630,98.1
2019-12-01,0645,101.1
2019-12-01,0700,94.1
2019-12-01,0715,92.0
2019-12-01,0730,97.0
2019-12-01,0745,91.0
2019-12-01,0800,100.1
2019-12-01,0815,86.1
2019-12-01,0830,88.0
2019-12-01,0845,93.1
2019-12-01,0900,89.0
2019-12-01,0915,85.1
2019-12-01,0930,79.0
2019-12-01,0945,74.1
2019-12-01,1000,96.0
2019-12-01,1015,104.0
2019-12-01,1030,109.1
2019-12-01,1045,103.0
2019-12-01,1100,90.1
2019-12-01,1115,81.0
2019-12-01,1130,74.1
2019-12-01,1145,74.1
2019-12-01,1200,82.0
2019-12-01,1215,76.1
2019-12-01,1230,77.0
2019-12-01,1245,79.1
2019-12-01,1300,77.0
2019-12-01,1315,76.0
2019-12-01,1330,78.1
2019-12-01,1345,78.0
2019-12-01,1400,76.0
2019-12-01,1415,74.0
2019-12-01,1430,81.0
2019-12-01,1445,73.1
2019-12-01,1500,72.0
2019-12-01,1515,76.0
2019-12-01,1530,80.0
2019-12-01,1545,76.1
2019-12-01,1600,80.6
2019-12-01,1615,85.1
2019-12-01,1630,79.1
2019-12-01,1645,71.0
2019-12-01,1700,77.1
2019-12-01,1715,78.1
2019-12-01,1730,77.0
2019-12-01,1745,77.1
2019-12-01,1800,76.0
2019-12-01,1815,80.0
2019-12-01,1830,79.0
2019-12-01,1845,76.1
2019-12-01,1900,81.0
2019-12-01,1915,82.1
2019-12-01,1930,81.0
2019-12-01,1945,75.1
2019-12-01,2000,84.0
2019-12-01,2015,85.1
2019-12-01,2030,79.0
2019-12-01,2045,84.1
2019-12-01,2100,85.0
2019-12-01,2115,85.0
2019-12-01,2130,83.1
2019-12-01,2145,81.0
2019-12-01,2200,87.1
2019-12-01,2215,78.0
2019-12-01,2230,84.1
2019-12-01,2245,86.0
2019-12-01,2300,80.1
2019-12-01,2315,80.0
2019-12-01,2330,79.1
2019-12-01,2345,86.0
2019-12-02,0000,83.0
2019-12-02,0015,85.0
2019-12-02,0030,91.0
2019-12-02,0045,84.1
2019-12-02,0100,87.1
2019-12-02,0115,80.0
2019-12-02,0130,85.1
2019-12-02,0145,86.0
2019-12-02,0200,85.0
2019-12-02,0215,90.1
2019-12-02,0230,87.1
2019-12-02,0245,86.0
2019-12-02,0300,84.1
2019-12-02,0315,80.0
2019-12-02,0330,85.0
2019-12-02,0345,85.0
2019-12-02,0400,87.1
2019-12-02,0415,82.0
2019-12-02,0430,84.1
2019-12-02,0445,80.0
2019-12-02,0500,85.0
2019-12-02,0515,83.1
2019-12-02,0530,84.0
2019-12-02,0545,85.1
2019-12-02,0600,92.1
2019-12-02,0615,94.0
2019-12-02,0630,91.0
2019-12-02,0645,93.1
2019-12-02,0700,109.0
2019-12-02,0715,112.1
2019-12-02,0730,112.0
2019-12-02,0745,107.1
2019-12-02,0800,101.1
2019-12-02,0815,110.0
2019-12-02,0830,107.0
2019-12-02,0845,106.1
2019-12-02,0900,108.0
2019-12-02,0915,111.0
2019-12-02,0930,120.1
2019-12-02,0945,112.1
2019-12-02,1000,119.0
2019-12-02,1015,119.1
2019-12-02,1030,119.0
2019-12-02,1045,119.1
2019-12-02,1100,121.0
2019-12-02,1115,116.1
2019-12-02,1130,122.0
2019-12-02,1145,119.1
2019-12-02,1200,120.0
2019-12-02,1215,118.1
2019-12-02,1230,109.0
2019-12-02,1245,122.1
2019-12-02,1300,120.1
2019-12-02,1315,121.0
2019-12-02,1330,122.0
2019-12-02,1345,121.1
2019-12-02,1400,119.0
2019-12-02,1415,122.0
2019-12-02,1430,123.0
2019-12-02,1445,123.1
2019-12-02,1500,125.0
2019-12-02,1515,120.1
2019-12-02,1530,122.0
2019-12-02,1545,129.0
2019-12-02,1600,122.1
2019-12-02,1615,129.0
2019-12-02,1630,121.0
2019-12-02,1645,126.1
2019-12-02,1700,120.1
2019-12-02,1715,121.0
2019-12-02,1730,112.1
2019-12-02,1745,109.0
2019-12-02,1800,118.1
2019-12-02,1815,113.1
2019-12-02,1830,114.0
2019-12-02,1845,124.0
2019-12-02,1900,116.0
2019-12-02,1915,125.1
2019-12-02,1930,118.1
2019-12-02,1945,125.0
2019-12-02,2000,115.0
2019-12-02,2015,120.1
2019-12-02,2030,125.0
2019-12-02,2045,119.1
2019-12-02,2100,129.0
2019-12-02,2115,111.0
2019-12-02,2130,113.1
2019-12-02,2145,120.0
2019-12-02,2200,109.0
2019-12-02,2215,115.1
2019-12-02,2230,115.0
2019-12-02,2245,113.0
2019-12-02,2300,115.1
2019-12-02,2315,111.0
2019-12-02,2330,111.1
2019-12-02,2345,118.0
2019-12-03,0000,111.1
2019-12-03,0015,110.1
2019-12-03,0030,116.0
2019-12-03,0045,115.1
2019-12-03,0100,119.0
2019-12-03,0115,109.0
2019-12-03,0130,110.0
2019-12-03,0145,119.0
2019-12-03,0200,102.1
2019-12-03,0215,89.1
2019-12-03,0230,95.0
2019-12-03,0245,88.0
2019-12-03,0300,87.0
2019-12-03,0315,95.0
2019-12-03,0330,89.1
2019-12-03,0345,89.0
2019-12-03,0400,83.1
2019-12-03,0415,89.0
2019-12-03,0430,93.1
2019-12-03,0445,87.1
2019-12-03,0500,90.0
2019-12-03,0515,85.0
2019-12-03,0530,82.1
2019-12-03,0545,92.0
2019-12-03,0600,87.1
2019-12-03,0615,92.0
2019-12-03,0630,81.1
2019-12-03,0645,86.1
2019-12-03,0700,88.0
2019-12-03,0715,85.0
2019-12-03,0730,86.1
2019-12-03,0745,85.0
2019-12-03,0800,92.0
2019-12-03,0815,99.1
2019-12-03,0830,97.1
2019-12-03,0845,98.0
2019-12-03,0900,96.1
2019-12-03,0915,100.0
2019-12-03,0930,136.2
2019-12-03,0945,124.0
2019-12-03,1000,123.0
2019-12-03,1015,127.1
2019-12-03,1030,114.0
2019-12-03,1045,122.0
2019-12-03,1100,121.1
2019-12-03,1115,116.0
2019-12-03,1130,121.1
2019-12-03,1145,114.0
2019-12-03,1200,120.1
2019-12-03,1215,125.0
2019-12-03,1230,119.1
2019-12-03,1245,126.1
2019-12-03,1300,121.1
2019-12-03,1315,118.0
2019-12-03,1330,122.1
2019-12-03,1345,115.0
2019-12-03,1400,119.1
2019-12-03,1415,123.1
2019-12-03,1430,123.1
2019-12-03,1445,127.0
2019-12-03,1500,123.0
2019-12-03,1515,123.1
2019-12-03,1530,128.0
2019-12-03,1545,122.0
2019-12-03,1600,127.6
2019-12-03,1615,123.1
2019-12-03,1630,126.0
2019-12-03,1645,123.1
2019-12-03,1700,130.1
2019-12-03,1715,121.0
2019-12-03,1730,131.1
2019-12-03,1745,126.0
2019-12-03,1800,129.1
2019-12-03,1815,125.1
2019-12-03,1830,124.0
2019-12-03,1845,133.0
2019-12-03,1900,126.1
2019-12-03,1915,134.1
2019-12-03,1930,128.0
2019-12-03,1945,124.0
2019-12-03,2000,132.1
2019-12-03,2015,124.0
2019-12-03,2030,132.1
2019-12-03,2045,122.1
2019-12-03,2100,130.0
2019-12-03,2115,128.1
2019-12-03,2130,125.0
2019-12-03,2145,129.1
2019-12-03,2200,123.0
2019-12-03,2215,129.1
2019-12-03,2230,121.0
2019-12-03,2245,120.1
2019-12-03,2300,132.1
2019-12-03,2315,118.1
2019-12-03,2330,129.0
2019-12-03,2345,122.0
2019-12-04,0000,128.1
2019-12-04,0015,123.1
2019-12-04,0030,132.0
2019-12-04,0045,121.0
2019-12-04,0100,121.1
2019-12-04,0115,132.1
2019-12-04,0130,122.1
2019-12-04,0145,128.0
2019-12-04,0200,112.0
2019-12-04,0215,111.1
2019-12-04,0230,102.1
2019-12-04,0245,108.0
2019-12-04,0300,103.0
2019-12-04,0315,102.0
2019-12-04,0330,105.0
2019-12-04,0345,105.1
2019-12-04,0400,98.0
2019-12-04,0415,104.1
2019-12-04,0430,101.0
2019-12-04,0445,106.1
2019-12-04,0500,96.0
2019-12-04,0515,96.0
2019-12-04,0530,89.0
2019-12-04,0545,86.1
2019-12-04,0600,93.1
2019-12-04,0615,87.0
2019-12-04,0630,95.1
2019-12-04,0645,85.1
2019-12-04,0700,89.0
2019-12-04,0715,93.0
2019-12-04,0730,90.1
2019-12-04,0745,85.0
2019-12-04,0800,87.1
2019-12-04,0815,91.1
2019-12-04,0830,85.1
2019-12-04,0845,87.0
2019-12-04,0900,87.1
2019-12-04,0915,89.1
2019-12-04,0930,122.1
2019-12-04,0945,114.0
2019-12-04,1000,116.1
2019-12-04,1015,107.1
2019-12-04,1030,113.1
2019-12-04,1045,105.0
2019-12-04,1100,111.1
2019-12-04,1115,109.1
2019-12-04,1130,107.0
2019-12-04,1145,111.0
2019-12-04,1200,106.1
2019-12-04,1215,114.0
2019-12-04,1230,106.1
2019-12-04,1245,101.0
2019-12-04,1300,113.1
2019-12-04,1315,106.0
2019-12-04,1330,112.0
2019-12-04,1345,105.0
2019-12-04,1400,114.0
2019-12-04,1415,108.1
2019-12-04,1430,108.1
2019-12-04,1445,112.0
2019-12-04,1500,110.0
2019-12-04,1515,115.1
2019-12-04,1530,110.0
2019-12-04,1545,116.1
2019-12-04,1600,113.0
